名称,地址,电话,经纬度,城市
昊远叉车培训(瓜沥店),瓜沥镇光华路243-245号汇锦名店广场26栋,13372503330,"120.456286,30.187152",杭州
叉车培训登高电工焊工保安考证,下沙街道七格小区495-1号,13205719601;13208039601,"120.315733,30.297506",杭州
杭州昊远叉车培训,临浦镇萧山建材商贸城17栋15号,0571-82487369;13336015165;19357256618,"120.245231,30.052128",杭州
叉车培训考证,梅林湾石材市场4号店铺,13305817430,"120.565287,30.273267",杭州
杭州安寻教育培训咨询考证,东湖街道天荷路111号6幢4楼401室,15067198424,"120.295225,30.441025",杭州
叉车电焊培训(富阳店),富春街道西堤路109-2,18443511115,"119.948484,30.045885",杭州
临平叉车培.训,杭州市东湖街道东湖北路267号,15168334442;18668057786,"120.302094,30.442196",杭州
杭州川雄叉车挖机,宁围街道新华村,15224065222,"120.293355,30.205456",杭州
叉车电焊培训(东洲店),东洲街道紫铜村紫砂198号1楼,13221073202,"120.074645,30.077015",杭州
启杭叉车培训考证(叉车上牌)焊工考证,前村街220号,15356185456,"120.163817,30.385673",杭州
嘉杭叉车培训考证,义蓬第二小学北侧约50米叉车培训考证,18969130295,"120.507221,30.306602",杭州
叉车培训,悍马路1号叉车培训,18268055983,"120.262057,30.059942",杭州
叉车培训电工焊工登高保安考证,新湾街道闸口路51-1号,13205719601;13208039601,"120.547576,30.281043",杭州
叉车培训电工电焊培训,东湖街道东湖南路6号,19033911104,"120.306404,30.419751",杭州
叉车电焊电工培训考证,靖江街道文化路10号,15858295256;17681959756,"120.466404,30.231289",杭州
叉车培训,义蓬街道金蜂二路101号,13157198065,"120.491165,30.264196",杭州
鑫熠叉车培训,青山湖汪家埠鹤亭街92号,15068129689,"119.867562,30.252439",杭州
杭州叉车培训电工电焊,良渚街道书林苑1-26号,15158187797;15168226820,"120.047605,30.376560",杭州
涵辰叉车电焊电工挖机培训(叉车上牌),下沙街道智格小区205号,15306553029,"120.327494,30.298469",杭州
叉车电焊培训(余杭区),闲林街道雅居乐国际花园17-11,19511221108,"119.978433,30.231828",杭州
焊工电工登高制冷叉车培训(裕华大厦店),振华路196号裕华大厦B座,19229244822,"120.076100,30.315551",杭州
杭州叉车电焊培训基地,八柯线与小农场一路交叉口东南220米,暂无电话,"120.441225,30.188425",杭州
信达叉车培训,航坞路443号,13777391359,"120.451996,30.174681",杭州
启顺叉车电焊培训,衙前路与成虎路交叉口南120米,暂无电话,"120.409057,30.159067",杭州
叉车电焊培训考证,锦城街道钱王街269-8一楼,13067993634,"119.730591,30.230945",杭州
叉车培训电工焊工,银湖街道高富路7号,13605708398,"119.943839,30.095473",杭州
叉车培训,临平区东湖北路,19857353905,"120.297131,30.464630",杭州
叉车培训,杭州宗兴齿轮有限公司东门东北70米,暂无电话,"120.210106,30.081890",杭州
兴达叉车培训,衙前镇衙前路720号一1,15990093359,"120.362894,30.162389",杭州
鑫熠叉车培训电工焊工登高,[],15068129689,"119.721921,30.222291",杭州
叉车培训,前峰村4组17号,13157198065,"120.564203,30.319486",杭州
杭州状元叉车培训,为民路6号,13777575477,"120.587600,30.316935",杭州
电工登高焊工制冷叉车培训(中博大厦店),中博大厦A座,暂无电话,"119.989264,30.232028",杭州
电工焊工登高制冷叉车培训(海云科技园店),石漴弄与塘子堰路交叉口西120米,暂无电话,"120.202574,30.154520",杭州
鸿健叉车培训考证(瓜沥报名处),瓜港东路68号,15888834247,"120.452759,30.201443",杭州
如运叉车培训,所前镇飞翔路1号1楼,13003699609;15658105372,"120.285224,30.119761",杭州
叉车实操培训练车场,临江建诚驾校分校旁,13157198065,"120.573055,30.291573",杭州
兴达叉车培训,衙前路720号-1(衙前地铁站B口步行290米),15990093359;18458350636,"120.362894,30.162389",杭州
叉车培训考证N1,红泉路与义府大街交叉口西南60米,暂无电话,"120.482925,30.273625",杭州
鑫熠叉车电工焊工考培中心,青山湖街道横畈泉口村市地153号安徽早点旁边巷子里,15068129689,"119.801173,30.321856",杭州
